n_bets,total_profit,roi_per_bet,min_home_win_rate,min_odds,max_odds,min_iso_proba
17,1245.0,0.7323529411764705,0.6,1.6,3.0,0.65
17,1245.0,0.7323529411764705,0.6,1.6,3.0,0.7
20,1425.0,0.7125,0.55,1.6,3.0,0.65
20,1425.0,0.7125,0.55,1.6,3.0,0.7
16,1085.0,0.678125,0.6,1.6,2.5,0.65
16,1085.0,0.678125,0.6,1.6,2.5,0.7
19,1265.0,0.6657894736842105,0.55,1.6,2.5,0.65
19,1265.0,0.6657894736842105,0.55,1.6,2.5,0.7
15,976.0,0.6506666666666666,0.65,1.6,3.0,0.65
15,976.0,0.6506666666666666,0.65,1.6,3.0,0.7
23,1490.0,0.6478260869565218,0.6,1.6,3.0,0.55
23,1490.0,0.6478260869565218,0.6,1.6,3.0,0.6
26,1670.0,0.6423076923076924,0.55,1.6,3.0,0.55
26,1670.0,0.6423076923076924,0.55,1.6,3.0,0.6
22,1366.0,0.6209090909090909,0.5,1.6,2.5,0.65
22,1366.0,0.6209090909090909,0.5,1.6,2.5,0.7
22,1330.0,0.6045454545454545,0.6,1.6,2.5,0.55
22,1330.0,0.6045454545454545,0.6,1.6,2.5,0.6
25,1510.0,0.604,0.55,1.6,2.5,0.55
25,1510.0,0.604,0.55,1.6,2.5,0.6
24,1426.0,0.5941666666666666,0.5,1.6,3.0,0.65
24,1426.0,0.5941666666666666,0.5,1.6,3.0,0.7
29,1694.0,0.5841379310344827,0.5,1.6,2.5,0.55
29,1694.0,0.5841379310344827,0.5,1.6,2.5,0.6
14,816.0,0.5828571428571429,0.65,1.6,2.5,0.65
14,816.0,0.5828571428571429,0.65,1.6,2.5,0.7
21,1221.0,0.5814285714285714,0.65,1.6,3.0,0.55
21,1221.0,0.5814285714285714,0.65,1.6,3.0,0.6
31,1754.0,0.5658064516129032,0.5,1.6,3.0,0.55
31,1754.0,0.5658064516129032,0.5,1.6,3.0,0.6
10,546.0,0.546,0.6,1.6,2.1,0.65
10,546.0,0.546,0.6,1.6,2.1,0.7
10,546.0,0.546,0.65,1.6,2.1,0.65
10,546.0,0.546,0.65,1.6,2.1,0.7
20,1061.0,0.5305,0.65,1.6,2.5,0.55
20,1061.0,0.5305,0.65,1.6,2.5,0.6
9,444.0,0.49333333333333335,0.6,1.6,2.0,0.65
9,444.0,0.49333333333333335,0.6,1.6,2.0,0.7
9,444.0,0.49333333333333335,0.65,1.6,2.0,0.65
9,444.0,0.49333333333333335,0.65,1.6,2.0,0.7
32,1540.0,0.48125,0.55,1.4,3.0,0.7
34,1634.0,0.48058823529411765,0.55,1.4,3.0,0.65
31,1454.0,0.46903225806451615,0.6,1.4,3.0,0.65
29,1360.0,0.4689655172413793,0.6,1.4,3.0,0.7
33,1474.0,0.44666666666666666,0.55,1.4,2.5,0.65
31,1380.0,0.44516129032258067,0.55,1.4,2.5,0.7
12,533.0,0.44416666666666665,0.5,1.6,2.1,0.65
12,533.0,0.44416666666666665,0.5,1.6,2.1,0.7
36,1575.0,0.4375,0.5,1.4,2.5,0.65
34,1481.0,0.43558823529411766,0.5,1.4,2.5,0.7
42,1825.0,0.43452380952380953,0.55,1.4,3.0,0.55
42,1825.0,0.43452380952380953,0.55,1.4,3.0,0.6
30,1294.0,0.43133333333333335,0.6,1.4,2.5,0.65
