date,home_team,away_team,bet_side,home_win_rate,prob_iso,odds_1,win,pnl,cum_profit
2025-10-21,OKC,HOU,OKC,0.67,0.643,1.31,1.0,31.0,31.0
2025-10-22,UTA,LAC,UTA,0.67,0.643,1.21,1.0,21.0,52.0
2025-10-22,NYK,CLE,NYK,1.0,0.643,1.62,1.0,62.0,114.0
2025-10-22,MIL,WAS,MIL,0.67,0.714,1.22,1.0,22.0,136.0
2025-10-22,CHI,DET,CHI,1.0,0.526,2.17,1.0,117.0,253.0
2025-10-22,MEM,NOP,MEM,0.67,0.643,1.53,1.0,53.0,306.0
2025-10-23,GSW,DEN,GSW,1.0,0.5,1.77,1.0,77.0,383.0
2025-10-24,NYK,BOS,NYK,1.0,0.875,1.67,1.0,67.0,450.0
2025-10-24,MEM,MIA,MEM,0.67,0.714,1.71,0.0,-100.0,350.0
2025-10-24,LAC,PHO,LAC,1.0,0.5,1.23,1.0,23.0,373.0
2025-10-25,PHI,CHO,PHI,1.0,0.75,1.51,1.0,51.0,424.0
2025-10-25,MEM,IND,MEM,0.67,0.643,1.74,1.0,74.0,498.0
2025-10-25,DEN,PHO,DEN,1.0,0.875,1.12,1.0,12.0,510.0
2025-10-26,MIA,NYK,MIA,1.0,0.714,2.2,1.0,120.0,630.0
2025-10-26,LAC,POR,LAC,1.0,0.643,1.32,1.0,32.0,662.0
2025-10-26,CLE,MIL,CLE,1.0,0.75,1.39,1.0,39.0,701.0
2025-10-26,SAS,BRK,SAS,0.67,0.875,1.16,1.0,16.0,717.0
2025-10-26,DET,BOS,DET,0.67,0.643,1.51,1.0,51.0,768.0
2025-10-27,SAS,TOR,SAS,0.67,1.0,1.49,1.0,49.0,817.0
2025-10-27,CHI,ATL,CHI,1.0,0.75,2.14,1.0,114.0,931.0
2025-10-27,UTA,PHO,UTA,0.67,0.643,1.85,1.0,85.0,1016.0
2025-10-27,DET,CLE,DET,0.67,0.643,2.2,0.0,-100.0,916.0
2025-10-27,PHI,ORL,PHI,1.0,0.875,2.9,1.0,190.0,1106.0
2025-10-27,GSW,MEM,GSW,1.0,0.875,1.29,1.0,29.0,1135.0
2025-10-28,MIA,CHO,MIA,1.0,0.526,1.44,1.0,44.0,1179.0
2025-10-28,MIL,NYK,MIL,0.67,0.526,2.14,1.0,114.0,1293.0
2025-10-28,OKC,SAC,OKC,0.67,0.875,1.25,1.0,25.0,1318.0
2025-10-28,GSW,LAC,GSW,1.0,0.526,2.05,1.0,105.0,1423.0
2025-10-29,UTA,POR,UTA,0.67,0.526,2.24,0.0,-100.0,1323.0
2025-10-29,DEN,NOP,DEN,1.0,1.0,1.14,1.0,14.0,1337.0
2025-10-29,DET,ORL,DET,0.67,0.714,2.0,1.0,100.0,1437.0
2025-10-29,CHI,SAC,CHI,1.0,0.714,1.51,1.0,51.0,1488.0
