team,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
LAC,3,2,2,1.0000
MIN,3,1,1,1.0000
MIA,3,1,1,1.0000
CLE,3,1,1,1.0000
SAS,3,1,1,1.0000
DET,3,1,1,1.0000
DEN,2,1,1,1.0000
PHI,2,1,1,1.0000
CHO,3,1,1,1.0000
UTA,2,1,1,1.0000
MIL,3,1,1,1.0000
CHI,2,1,1,1.0000
OKC,3,1,1,1.0000
NYK,3,2,2,1.0000
PHO,3,1,1,1.0000
GSW,3,1,1,1.0000
MEM,3,3,2,0.6700
LAL,3,2,1,0.5000
SAC,3,2,1,0.5000
POR,3,2,1,0.5000
ORL,3,3,1,0.3300
DAL,3,3,1,0.3300
ATL,3,2,0,0.0000
WAS,3,1,0,0.0000
IND,3,1,0,0.0000
BRK,3,1,0,0.0000
HOU,2,1,0,0.0000
TOR,3,1,0,0.0000
NOP,2,1,0,0.0000
BOS,3,1,0,0.0000
