,Total Last 20 Home Games,Total Home Games,Home Wins,Home Win Rate
SAS,20,20,16,0.8
OKC,20,20,16,0.8
DET,20,20,16,0.8
HOU,20,20,15,0.75
PHO,20,20,15,0.75
NYK,20,20,15,0.75
ORL,20,20,14,0.7
GSW,20,20,14,0.7
DEN,20,20,13,0.65
BOS,20,20,13,0.65
MIN,20,20,13,0.65
MIA,20,20,13,0.65
CHI,20,20,12,0.6
LAL,20,20,12,0.6
TOR,20,20,12,0.6
LAC,20,20,12,0.6
CLE,20,20,12,0.6
PHI,20,20,11,0.55
MEM,20,20,10,0.5
CHO,20,20,10,0.5
POR,20,20,10,0.5
DAL,20,20,10,0.5
MIL,20,20,10,0.5
ATL,20,20,8,0.4
UTA,20,20,7,0.35
NOP,20,20,7,0.35
IND,20,20,7,0.35
SAC,20,20,6,0.3
WAS,20,20,6,0.3
BRK,20,20,5,0.25
PHX,0,0,0,
