home_team,away_team,date,side,prob,odds,stake
UTA,PHO,2025-10-27,home-raw,0.7383,1.8500,9.0805
UTA,PHO,2025-10-27,home-platt,0.6609,1.8500,5.5274
UTA,PHO,2025-10-27,home-iso,1.0000,1.8500,12.6600
GSW,MEM,2025-10-27,home-iso,1.0000,1.2900,12.6600
CHI,ATL,2025-10-27,home-raw,0.6712,2.1400,8.0753
CHI,ATL,2025-10-27,home-platt,0.6623,2.1400,7.7258
CHI,ATL,2025-10-27,home-iso,1.0000,2.1400,12.6600
PHI,ORL,2025-10-27,home-raw,0.7197,2.9500,12.1522
PHI,ORL,2025-10-27,home-platt,0.6613,2.9500,10.2886
PHI,ORL,2025-10-27,home-iso,1.0000,2.9500,12.6600
SAS,TOR,2025-10-27,home-raw,0.6724,1.5100,0.6354
SAS,TOR,2025-10-27,home-platt,0.6623,1.5100,0.0040
SAS,TOR,2025-10-27,home-iso,1.0000,1.5100,12.6600
LAL,POR,2025-10-27,home-raw,0.6926,2.2000,9.2093
LAL,POR,2025-10-27,home-platt,0.6619,2.2000,8.0205
LAL,POR,2025-10-27,home-iso,1.0000,2.2000,12.6600
MIN,DEN,2025-10-27,home-raw,0.5570,3.0000,7.0778
MIN,DEN,2025-10-27,home-platt,0.6648,3.0000,10.4906
MIN,DEN,2025-10-27,home-iso,0.7143,3.0000,12.0571
DET,CLE,2025-10-27,home-platt,0.6671,2.1400,7.9159
