home_team,away_team,home_team_prob,result,odds 1,odds 2,date
DAL,IND,0.3723265562276166,0,1.4,3.05,2025-10-29
PHO,MEM,0.41385915214599756,0,2.1,1.77,2025-10-29
BRK,ATL,0.5489035996687615,0,3.6,1.31,2025-10-29
UTA,POR,0.47311684697431133,0,2.24,1.68,2025-10-29
TOR,HOU,0.28850993662699254,0,2.7,1.49,2025-10-29
BOS,CLE,0.5152286697691945,0,2.45,1.57,2025-10-29
DEN,NOP,0.8128710905070619,0,1.14,6.0,2025-10-29
MIN,LAL,0.4413521204755433,0,1.35,3.3,2025-10-29
DET,ORL,0.5919309150014875,0,2.0,1.83,2025-10-29
CHI,SAC,0.593241808823153,0,1.51,2.64,2025-10-29
