home_team,away_team,home_team_prob,odds 1,odds 2,result,date
CHO,ATL,0.6973698610287882,1.56,2.5,0,2026-02-11
CLE,WAS,0.7386420655838472,1.1,7.5,0,2026-02-11
ORL,MIL,0.5947849038510592,1.19,5.0,0,2026-02-11
BOS,CHI,0.6944311847035524,1.14,6.0,0,2026-02-11
BRK,IND,0.36023541172678464,1.43,2.9,0,2026-02-11
PHI,NYK,0.6502050659441615,1.74,2.14,0,2026-02-11
TOR,DET,0.5898781122279736,1.91,1.91,0,2026-02-11
HOU,LAC,0.5789956494191703,1.27,3.95,0,2026-02-11
MIN,POR,0.5695726085660121,1.43,2.9,0,2026-02-11
NOP,MIA,0.6192127129485656,1.82,2.02,0,2026-02-11
DEN,MEM,0.6100833380616253,1.15,5.9,0,2026-02-11
PHX,OKC,,,,0,2026-02-11
UTA,SAC,0.5147388291032408,1.46,2.8,0,2026-02-11
GSW,SAS,0.49734587153374554,3.15,1.38,0,2026-02-11
