home_team,away_team,home_team_prob,odds 1,odds 2,result,date,prob_live_safe,prob_used
IND,LAC,0.25172705559382685,4.0,1.26,0,2026-03-27,,
BOS,ATL,0.6378098256568902,1.52,2.6,0,2026-03-27,,
CLE,MIA,0.5748714470496536,1.44,2.85,0,2026-03-27,,
MEM,HOU,0.29104395076011413,6.75,1.12,0,2026-03-27,,
OKC,CHI,0.6589661449155917,1.04,14.0,0,2026-03-27,,
TOR,NOP,0.5452459557210048,1.26,4.0,0,2026-03-27,,
DEN,UTA,0.6542908222974083,1.06,11.0,0,2026-03-27,,
GSW,WAS,0.3731910360318951,1.1,7.5,0,2026-03-27,,
POR,DAL,0.7732250852209086,1.21,4.6,0,2026-03-27,,
LAL,BRK,0.6263805322661442,1.06,10.5,0,2026-03-27,,
