home_team,away_team,home_team_prob,odds_1,odds_2,result,game_date,prob_live_safe,prob_used,blocked_by,run_date,created_utc,source,game_key,stage2_candidate_type,params_chosen,params_compareN,params_used,result_raw,home_team_won,settled,pnl_ml_100,accuracy,prob_iso,prob_iso_insample,prob_iso_oos_time,prob_live_oos_proxy,prob_live_safe_pre_clip,prob_base,source_snapshot_date,pred_home_win_proba,closing_home_odds,closing_away_odds,iso_proba_home_win,live_oos_proxy_ready,live_oos_proxy_train_rows,live_oos_proxy_bin_n,live_oos_proxy_bin_winrate,market_implied_p_raw,market_implied_p_devig,model_market_gap,model_market_gap_flag,live_underdog_upscale_guard_triggered,prob_blended,live_shrink_triggered,implied_prob_1,home_win_rate,EV_€_per_100,engine_state,game_day
HOU,LAL,0.7174920126740585,1.59,2.42,0,2026-05-01 00:00:00,0.5897435897435898,0.5919142274053275,PASS,2026-05-01,2026-05-01T17:34:29.773247+00:00,,2026-05-01__HOU__LAL,LOW_PRICE_NEGATIVE_EV,LOCAL,500.0,"{'home_win_rate_threshold': 0.55, 'odds_min': 1.4, 'odds_max': 3.2, 'prob_threshold': 0.45, 'n_trades': 78, 'win_rate_%': 64.1, 'avg_EV_€_per_100': 30.96, 'profit_€': 2185.0, 'roi_%': 28.01}",0,,False,,,0.7657657657657657,0.7657657657657657,0.7657657657657657,0.5897435897435898,0.5897435897435898,0.5897435897435898,,0.7174920126740585,1.59,2.42,0.7657657657657657,True,429.0,16.0,0.5897435897435898,0.6289308176100629,0.6034912718204488,-0.013747682076859058,False,False,0.5919142274053275,False,0.6289308176100629,0.75,-5.885637842552926,upcoming_d,2026-05-01
ORL,DET,0.6430863420456859,2.36,1.62,0,2026-05-01 00:00:00,0.5897435897435898,0.44795601748933384,PASS,2026-05-01,2026-05-01T17:34:29.773247+00:00,,2026-05-01__ORL__DET,LIVE_WATCH_ONLY,LOCAL,500.0,"{'home_win_rate_threshold': 0.55, 'odds_min': 1.4, 'odds_max': 3.2, 'prob_threshold': 0.45, 'n_trades': 78, 'win_rate_%': 64.1, 'avg_EV_€_per_100': 30.96, 'profit_€': 2185.0, 'roi_%': 28.01}",0,,False,,,0.676923076923077,0.676923076923077,0.676923076923077,0.5897435897435898,0.5897435897435898,0.5897435897435898,,0.6430863420456859,2.36,1.62,0.676923076923077,True,429.0,17.0,0.5897435897435898,0.42372881355932207,0.40703517587939697,0.1827084138641928,True,False,0.4256514535561912,True,0.42372881355932207,0.7,5.717620127482781,upcoming_d,2026-05-01
TOR,CLE,0.6293326601071558,2.45,1.57,0,2026-05-01 00:00:00,0.5897435897435898,0.4349443680228938,PASS,2026-05-01,2026-05-01T17:34:29.773247+00:00,,2026-05-01__TOR__CLE,LIVE_WATCH_ONLY,LOCAL,500.0,"{'home_win_rate_threshold': 0.55, 'odds_min': 1.4, 'odds_max': 3.2, 'prob_threshold': 0.45, 'n_trades': 78, 'win_rate_%': 64.1, 'avg_EV_€_per_100': 30.96, 'profit_€': 2185.0, 'roi_%': 28.01}",0,,False,,,0.676923076923077,0.676923076923077,0.676923076923077,0.5897435897435898,0.5897435897435898,0.5897435897435898,,0.6293326601071558,2.45,1.57,0.676923076923077,True,429.0,17.0,0.5897435897435898,0.4081632653061224,0.39054726368159204,0.19919632606199772,True,False,0.4070633828898483,True,0.4081632653061224,0.6,6.561370165609004,upcoming_d,2026-05-01
MIN,PHX,,,,0.0,2026-03-17 00:00:00,,,PASS,2026-05-01,2026-05-01T17:34:29.748017+00:00,,2026-03-17__MIN__PHX,LIVE_WATCH_ONLY,LOCAL,500.0,"{'home_win_rate_threshold': 0.55, 'odds_min': 1.4, 'odds_max': 3.2, 'prob_threshold': 0.45, 'n_trades': 78, 'win_rate_%': 64.1, 'avg_EV_€_per_100': 30.96, 'profit_€': 2185.0, 'roi_%': 28.01}",0.0,,False,,,,,,,,,2026-04-30,,,,,True,429.0,0.0,,,,,False,False,,False,,0.65,,watchlist,
SAS,PHX,,,,0.0,2026-03-19 00:00:00,,,PASS,2026-05-01,2026-05-01T17:34:29.748017+00:00,,2026-03-19__SAS__PHX,LIVE_WATCH_ONLY,LOCAL,500.0,"{'home_win_rate_threshold': 0.55, 'odds_min': 1.4, 'odds_max': 3.2, 'prob_threshold': 0.45, 'n_trades': 78, 'win_rate_%': 64.1, 'avg_EV_€_per_100': 30.96, 'profit_€': 2185.0, 'roi_%': 28.01}",0.0,,False,,,,,,,,,2026-04-30,,,,,True,429.0,0.0,,,,,False,False,,False,,0.8,,watchlist,
PHX,MIL,,,,0.0,2026-03-21 00:00:00,,,PASS,2026-05-01,2026-05-01T17:34:29.748017+00:00,,2026-03-21__PHX__MIL,LIVE_WATCH_ONLY,LOCAL,500.0,"{'home_win_rate_threshold': 0.55, 'odds_min': 1.4, 'odds_max': 3.2, 'prob_threshold': 0.45, 'n_trades': 78, 'win_rate_%': 64.1, 'avg_EV_€_per_100': 30.96, 'profit_€': 2185.0, 'roi_%': 28.01}",0.0,,False,,,,,,,,,2026-04-30,,,,,True,429.0,0.0,,,,,False,False,,False,,0.75,,watchlist,
PHX,UTA,,,,0.0,2026-03-28 00:00:00,,,PASS,2026-05-01,2026-05-01T17:34:29.748017+00:00,,2026-03-28__PHX__UTA,LIVE_WATCH_ONLY,LOCAL,500.0,"{'home_win_rate_threshold': 0.55, 'odds_min': 1.4, 'odds_max': 3.2, 'prob_threshold': 0.45, 'n_trades': 78, 'win_rate_%': 64.1, 'avg_EV_€_per_100': 30.96, 'profit_€': 2185.0, 'roi_%': 28.01}",0.0,,False,,,,,,,,,2026-04-30,,,,,True,429.0,0.0,,,,,False,False,,False,,0.75,,watchlist,
MEM,PHX,,,,0.0,2026-03-30 00:00:00,,,PASS,2026-05-01,2026-05-01T17:34:29.748017+00:00,,2026-03-30__MEM__PHX,LIVE_WATCH_ONLY,LOCAL,500.0,"{'home_win_rate_threshold': 0.55, 'odds_min': 1.4, 'odds_max': 3.2, 'prob_threshold': 0.45, 'n_trades': 78, 'win_rate_%': 64.1, 'avg_EV_€_per_100': 30.96, 'profit_€': 2185.0, 'roi_%': 28.01}",0.0,,False,,,,,,,,,2026-04-30,,,,,True,429.0,0.0,,,,,False,False,,False,,0.5,,watchlist,
CHI,PHX,,,,0.0,2026-04-05 00:00:00,,,PASS,2026-05-01,2026-05-01T17:34:29.748017+00:00,,2026-04-05__CHI__PHX,LIVE_WATCH_ONLY,LOCAL,500.0,"{'home_win_rate_threshold': 0.55, 'odds_min': 1.4, 'odds_max': 3.2, 'prob_threshold': 0.45, 'n_trades': 78, 'win_rate_%': 64.1, 'avg_EV_€_per_100': 30.96, 'profit_€': 2185.0, 'roi_%': 28.01}",0.0,,False,,,,,,,,,2026-04-30,,,,,True,429.0,0.0,,,,,False,False,,False,,0.6,,watchlist,
PHX,HOU,,,,0.0,2026-04-07 00:00:00,,,PASS,2026-05-01,2026-05-01T17:34:29.748017+00:00,,2026-04-07__PHX__HOU,LIVE_WATCH_ONLY,LOCAL,500.0,"{'home_win_rate_threshold': 0.55, 'odds_min': 1.4, 'odds_max': 3.2, 'prob_threshold': 0.45, 'n_trades': 78, 'win_rate_%': 64.1, 'avg_EV_€_per_100': 30.96, 'profit_€': 2185.0, 'roi_%': 28.01}",0.0,,False,,,,,,,,,2026-04-30,,,,,True,429.0,0.0,,,,,False,False,,False,,0.75,,watchlist,
