home_team,away_team,home_team_prob,odds 1,odds 2,result,date
ATL,TOR,0.5980519964007102,0,0,0,2025-01-25
BRK,MIA,0.4192321348039707,0,0,0,2025-01-25
CHI,PHI,0.48448551661245814,0,0,0,2025-01-25
CHO,NOP,0.47927115626853467,0,0,0,2025-01-25
CLE,HOU,0.7168755169165344,0,0,0,2025-01-25
DAL,BOS,0.4771460072195635,0,0,0,2025-01-25
GSW,LAL,0.42499979632168894,0,0,0,2025-01-25
LAC,MIL,0.6868234226606796,0,0,0,2025-01-25
MEM,UTA,0.5971890989486458,0,0,0,2025-01-25
MIN,DEN,0.5734840312671254,0,0,0,2025-01-25
NYK,SAC,0.693570378669562,0,0,0,2025-01-25
ORL,DET,0.35365558859996743,0,0,0,2025-01-25
PHO,WAS,0.7924757968588356,0,0,0,2025-01-25
SAS,IND,0.633807331567136,0,0,0,2025-01-25
